split,method,attack,seed,attacker,rounds,seconds,balanced_accuracy,accuracy,macro_f1,rare_macro_f1,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,to_target_5,to_target_6,to_target_rare,specialist_weight_5,specialist_fedavg_weight,attacker_weight_5,attacker_fedavg_weight,specialist_weight_6,attacker_weight_6,specialist_trust_5_r15,specialist_trust_5_final,attacker_trust_5_final,attacker_trust_5_max,specialist_trust_6_r15,specialist_trust_6_final,attacker_trust_6_final,attacker_trust_6_max
s1,camp_a,A1,42,4,100,12.15,0.5282337285707017,0.6827956989247311,0.5346959251804901,0.523645474475415,0.6116797110174593,0.8223041874593188,0.619409282700422,0.3706293706293706,0.46112115732368897,0.3870967741935484,0.6601941747572816,0.34513274336283184,0.23636363636363636,0.23076923076923078,0.2336448598130841,0.12184699099449575,0.14470075818680433,0.1734245895986346,0.035220734527074256,0.14013067040027938,0.19718016017083934,,,,,,,,
s1,camp_a,A1,43,4,100,12.05,0.5227160552576626,0.6750537634408602,0.5202205738638066,0.4990160062975597,0.60381861575179,0.8249180327868852,0.5983827493261455,0.3357664233576642,0.454855195911414,0.33783783783783783,0.6601941747572816,0.3459915611814346,0.2,0.23076923076923078,0.21495327102803738,0.12409232605603933,0.14470075818680433,0.17459551371807605,0.035220734527074256,0.1378000378610619,0.19352419841322369,,,,,,,,
s1,camp_a,A1,44,4,100,11.95,0.5230219962183117,0.678494623655914,0.520594619833024,0.4969911041339613,0.6010037641154329,0.8216615919965202,0.6255144032921811,0.3358208955223881,0.46503496503496505,0.3401360544217687,0.6538461538461539,0.3217391304347826,0.2545454545454545,0.21153846153846154,0.2336448598130841,0.12519134806791565,0.14470075818680433,0.17574220497703213,0.035220734527074256,0.13769619465051353,0.19409266740459002,,,,,,,,
s1,camp_a,A2,42,1,100,12.11,0.492004892928272,0.6791397849462366,0.5132248905177093,0.46606942889137737,0.6087990487514863,0.8219238388729914,0.6311541565778854,0.3233082706766917,0.4565972222222222,0.37894736842105264,0.5531914893617021,0.3318777292576419,0.2545454545454545,0.3076923076923077,0.2803738317757009,0.12761849362915448,0.14470075818680433,0.23424685217887864,0.1700811958918105,0.15281914163518742,0.2610644223683077,,,,,,,,
s1,camp_a,A2,43,1,100,12.16,0.5109604457668635,0.6718279569892474,0.5181321045808754,0.4937879989426381,0.6104190260475651,0.8193475815523059,0.6120033812341504,0.32142857142857145,0.4497444633730835,0.41025641025641024,0.5773195876288659,0.3445378151260504,0.2,0.3269230769230769,0.2616822429906542,0.1296438815614559,0.14470075818680433,0.23615930519358835,0.1700811958918105,0.15151480115529414,0.2601399726881709,,,,,,,,
s1,camp_a,A2,44,1,100,12.25,0.5089051667048192,0.6819354838709677,0.5277629094445069,0.5135586149353358,0.6128838049367851,0.8247056209731171,0.6355731225296443,0.33725490196078434,0.4585774058577406,0.43137254901960786,0.5957446808510638,0.32599118942731276,0.2,0.3076923076923077,0.2523364485981308,0.13083920096296736,0.14470075818680433,0.2356203622991577,0.1700811958918105,0.15248088270850382,0.2588940656493512,,,,,,,,
s1,camp_a,A3,42,4,100,12.01,0.5375515821915624,0.6836559139784947,0.5439025477780566,0.5712107839204044,0.6159292035398231,0.8273459612453734,0.6095406360424028,0.35125448028673834,0.4527972027972028,0.4628099173553719,0.6796116504854369,0.351931330472103,0.18181818181818182,0.21153846153846154,0.19626168224299065,0.12513540547986937,0.14470075818680433,0.14376586475092615,0.035220734527074256,0.13236781304357337,0.1411605162830384,,,,,,,,
s1,camp_a,A3,43,4,100,11.79,0.5367970166713324,0.6729032258064516,0.5300170787258224,0.5521345923660061,0.6141552511415526,0.8227232537577365,0.5784037558685446,0.3308270676691729,0.4509151414309484,0.4246575342465753,0.6796116504854369,0.33884297520661155,0.14545454545454545,0.21153846153846154,0.17757009345794392,0.12476799347807793,0.14470075818680433,0.14392553600926006,0.035220734527074256,0.13125036384242267,0.14243569557478072,,,,,,,,
s1,camp_a,A3,44,4,100,11.86,0.5316509946556538,0.6793548387096774,0.5309819657207158,0.5507246376811594,0.609017912291538,0.8243448126489062,0.6139130434782609,0.328,0.44798657718120805,0.43478260869565216,0.6666666666666666,0.3231441048034934,0.18181818181818182,0.19230769230769232,0.18691588785046728,0.12737853196547075,0.14470075818680433,0.14567720041266627,0.035220734527074256,0.13340340598511066,0.14284597820011846,,,,,,,,
s1,camp_a,none,42,-1,100,11.73,0.5375515821915624,0.6836559139784947,0.5439025477780566,0.5712107839204044,0.6159292035398231,0.8273459612453734,0.6095406360424028,0.35125448028673834,0.4527972027972028,0.4628099173553719,0.6796116504854369,0.351931330472103,0.18181818181818182,0.21153846153846154,0.19626168224299065,0.1251354302788559,0.14470075818680433,,,0.13236773893836146,,,,,,,,,
s1,camp_a,none,43,-1,100,11.66,0.5367970166713324,0.6729032258064516,0.5300170787258224,0.5521345923660061,0.6141552511415526,0.8227232537577365,0.5784037558685446,0.3308270676691729,0.4509151414309484,0.4246575342465753,0.6796116504854369,0.33884297520661155,0.14545454545454545,0.21153846153846154,0.17757009345794392,0.12476798872093303,0.14470075818680433,,,0.1312503740998263,,,,,,,,,
s1,camp_a,none,44,-1,100,12.16,0.5316509946556538,0.6793548387096774,0.5309819657207158,0.5507246376811594,0.609017912291538,0.8243448126489062,0.6139130434782609,0.328,0.44798657718120805,0.43478260869565216,0.6666666666666666,0.3231441048034934,0.18181818181818182,0.19230769230769232,0.18691588785046728,0.12737866382046076,0.14470075818680433,,,0.13340352591600743,,,,,,,,,
s1,camp_a_reported,A1,42,4,100,12.56,0.5280675234683085,0.6849462365591398,0.5440585338995738,0.5411111111111111,0.6141920095408467,0.8205798997165904,0.6310599835661462,0.3729903536977492,0.4671115347950429,0.4222222222222222,0.66,0.3643122676579926,0.23636363636363636,0.25,0.24299065420560748,0.14352475631760145,0.14470075818680433,0.19020823203222037,0.035220734527074256,0.18346149020451333,0.1686520339302038,,,,,,,,
s1,camp_a_reported,A1,43,4,100,12.69,0.5272856160020789,0.6825806451612904,0.5374352818421225,0.5262616822429906,0.607795371498173,0.8216355441081777,0.6125970664365833,0.3778501628664495,0.46476190476190476,0.3925233644859813,0.66,0.36231884057971014,0.23636363636363636,0.2692307692307692,0.2523364485981308,0.14352475631760145,0.14470075818680433,0.19020823203222037,0.035220734527074256,0.18346149020451333,0.1686520339302038,,,,,,,,
s1,camp_a_reported,A1,44,4,100,12.68,0.532112538124119,0.6853763440860215,0.5408805610741368,0.5333333333333333,0.5980582524271845,0.8221122822112282,0.648605577689243,0.3806228373702422,0.46254681647940077,0.4,0.6666666666666666,0.34843205574912894,0.2545454545454545,0.21153846153846154,0.2336448598130841,0.14352475631760145,0.14470075818680433,0.19020823203222037,0.035220734527074256,0.18346149020451333,0.1686520339302038,,,,,,,,
s1,camp_a_reported,A2,42,1,100,12.84,0.4888001623472234,0.6817204301075269,0.5102358569539686,0.42533936651583715,0.6066066066066066,0.8207814887579131,0.6414499605988968,0.35331230283911674,0.4596153846153846,0.23529411764705882,0.6153846153846154,0.34944237918215615,0.3090909090909091,0.3269230769230769,0.3177570093457944,0.15631442179141194,0.14470075818680433,0.2730250940699363,0.1700811958918105,0.2081651324869284,0.2640529436249177,,,,,,,,
s1,camp_a_reported,A2,43,1,100,11.72,0.5010475919290753,0.6834408602150538,0.5181791270462243,0.44421380384016607,0.6164705882352941,0.8238897396630934,0.6288492706645057,0.3782051282051282,0.4574780058651026,0.2926829268292683,0.5957446808510638,0.352112676056338,0.2545454545454545,0.3269230769230769,0.2897196261682243,0.15631442179141194,0.14470075818680433,0.2730250940699363,0.1700811958918105,0.2081651324869284,0.2640529436249177,,,,,,,,
s1,camp_a_reported,A2,44,1,100,11.55,0.5026041013878031,0.6864516129032258,0.524420975470243,0.4567032967032967,0.6099558916194077,0.8238897396630934,0.6513409961685823,0.39322033898305087,0.46788990825688076,0.32,0.5934065934065934,0.3356643356643357,0.3090909090909091,0.3269230769230769,0.3177570093457944,0.15631442179141194,0.14470075818680433,0.2730250940699363,0.1700811958918105,0.2081651324869284,0.2640529436249177,,,,,,,,
s1,camp_a_reported,A3,42,4,100,11.36,0.5376079224569363,0.6847311827956989,0.5534278781900213,0.5872048743335871,0.6173861620342992,0.821256038647343,0.6259168704156479,0.36482084690553745,0.46485473289597,0.46153846153846156,0.7128712871287128,0.35877862595419846,0.23636363636363636,0.21153846153846154,0.22429906542056074,0.1928341779586868,0.14470075818680433,0.01875700158155203,0.035220734527074256,0.2315543591929047,0.017610367263537124,,,,,,,,
s1,camp_a_reported,A3,43,4,100,11.22,0.5541517389447266,0.6840860215053763,0.5556043630861021,0.6029207799624704,0.6142857142857143,0.8228645946533363,0.6155172413793103,0.3790849673202614,0.46037735849056605,0.48739495798319327,0.7184466019417476,0.34686346863468637,0.16363636363636364,0.21153846153846154,0.18691588785046728,0.1928341779586868,0.14470075818680433,0.01875700158155203,0.035220734527074256,0.2315543591929047,0.017610367263537124,,,,,,,,
s1,camp_a_reported,A3,44,4,100,11.11,0.5530422902987016,0.6847311827956989,0.5592010166167319,0.6260008609556608,0.5975687779910429,0.8214979494927692,0.642570281124498,0.38596491228070173,0.4589861751152074,0.5391304347826087,0.7128712871287128,0.315018315018315,0.16363636363636364,0.21153846153846154,0.18691588785046728,0.1928341779586868,0.14470075818680433,0.01875700158155203,0.035220734527074256,0.2315543591929047,0.017610367263537124,,,,,,,,
s1,camp_a_reported,none,42,-1,100,12.49,0.5376636762481941,0.6849462365591398,0.5535058903761025,0.5872048743335871,0.6177514792899408,0.8215148188803513,0.6259168704156479,0.36482084690553745,0.46485473289597,0.46153846153846156,0.7128712871287128,0.35877862595419846,0.23636363636363636,0.21153846153846154,0.22429906542056074,0.1928341779586868,0.14470075818680433,,,0.2315543591929047,,,,,,,,,
s1,camp_a_reported,none,43,-1,100,12.42,0.5541517389447266,0.6840860215053763,0.5556043630861021,0.6029207799624704,0.6142857142857143,0.8228645946533363,0.6155172413793103,0.3790849673202614,0.46037735849056605,0.48739495798319327,0.7184466019417476,0.34686346863468637,0.16363636363636364,0.21153846153846154,0.18691588785046728,0.1928341779586868,0.14470075818680433,,,0.2315543591929047,,,,,,,,,
s1,camp_a_reported,none,44,-1,100,12.48,0.5530422902987016,0.6847311827956989,0.5592010166167319,0.6260008609556608,0.5975687779910429,0.8214979494927692,0.642570281124498,0.38596491228070173,0.4589861751152074,0.5391304347826087,0.7128712871287128,0.315018315018315,0.16363636363636364,0.21153846153846154,0.18691588785046728,0.1928341779586868,0.14470075818680433,,,0.2315543591929047,,,,,,,,,
s1,coordinate_wise_median,A1,42,4,100,12.06,0.4816473768564842,0.6670967741935484,0.4995003216994881,0.5666486291486291,0.5876603543066585,0.8207288813987782,0.5687732342007435,0.23853211009174313,0.42601626016260163,0.44642857142857145,0.6868686868686869,0.22099447513812154,0.21818181818181817,0.23076923076923078,0.22429906542056074,0.3693121951219512,0.14470075818680433,0.09376585365853657,0.035220734527074256,0.2464,0.10304878048780487,,,,,,,,
